순번,매장명,지역명,주소,전화
27,당산1가점,서울 영등포구,서울특별시 영등포구 양산로 146  DE' HAR (당산동1가 256 258),02-2679-7942
28,경북도청점,경북 예천군,경북 예천군 호명면 산합리 1427 1~2층,054-654-0048
29,부산백양대로DI점,부산 사상구,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,051-324-7779
30,분당미금점,경기 성남시 분당구,경기도 성남시 분당구 미금일로90번길 24 (구미동) B1F ~ 1F,031-713-7739
31,부산일광신도시점,부산 기장군,부산광역시 기장군 일광읍 해빛6로 43-20 ,070-4790-2715
32,메리츠봉래타워점,서울 중구,서울시 중구 칠패로 28 메리츠강북타워 1층,02-753-8835
33,고양시청DI점,경기 고양시 덕양구,경기도 고양시 덕양구 호국로 730 2F,031-812-0105
34,(춘)치악휴게소점,강원 원주시,강원도 원주시 신림면 다리실2길 32 ,유선없음
35,간석오거리점,인천 남동구,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,032-425-0915
36,대구범어천로점,대구 수성구,대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호  201호,053-759-5779
37,길동포유르센티점,서울 강동구,서울특별시 강동구 진황도로 104 1층 101~102호(길동 458) ,02-487-9997
38,고덕비즈밸리점,서울 강동구,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,070-7782-0055
39,창원팔용점,경남 창원시 의창구,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) ,
40,파르나스몰점,서울 강남구,서울특별시 강남구 테헤란로 521 (삼성동  파르나스타워) 파르나스몰 내 B1층 F-3a호,02-3453-1024
41,석계역점,서울 노원구,서울시 노원구 화랑로 325 1층,02-942-1345
42,동해묵호점,강원 동해시,강원특별자치도 동해시 해안로 368 (평릉동  할리스커피) 1~3층,033-534-8902
43,충남도청점,충남 홍성군,충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워) 신경리 553,041-631-4725
44,세종국책연구단지점,세종 세종시,세종특별자치시 시청대로 370 (반곡동  나라키움세종국책연구단지) ,044-865-4684
45,동아대 인문대점,부산 사하구,부산광역시 사하구 낙동대로550번길 37 (하단동  동아대학교) S01 인문대 카페,051-200-6165
46,경상대 느티마루점,경남 진주시,경상남도 진주시 진주대로 501 (가좌동  경상국립대학교가좌캠퍼스) ,
47,경북대 크누라운지점,대구 북구,대구광역시 북구 대학로 80 (산격동  경북대학교) ,
48,국민대 성곡도서관점,서울 성북구,서울특별시 성북구 정릉로 77 (정릉동  국민대학교) 도서관 지하1층,02-910-4954
49,atti-C 2023점,광주 북구,광주광역시 북구 용봉로 77 (용봉동  전남대학교) ,062-530-0040
50,경희대 경영대점,서울 동대문구,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,
51,광주상무점,광주 서구,광주광역시 서구 상무연하로 16 (치평동  스마일빌딩) 1층 109호,062-371-7778
52,청주내수DI점,충북 청주시 청원구,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,043-241-0517
53,명동역점,서울 중구,서울특별시 중구 퇴계로 131 (충무로2가  신일빌딩) ,02-752-5925
54,인천굴포천역점,인천 부평구,인천광역시 부평구 충선로209번길 49 (삼산동  삼산노블시티프라자) 삼산동 463-2  103 104 105호,070-4400-4664
55,대구팔달교DT점,대구 서구,대구광역시 서구 팔달로 34 (비산동) 1~2층,0507-1323-9597
56,인천공항교통센터점,인천 중구,인천광역시 중구 공항로 272 (운서동  인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07),032-743-3718
57,한국선원센터점,부산 중구,부산광역시 중구 충장대로9번길 66 (중앙동4가  한국선원센터) (중앙동4가 74-7)1층,070-4070-7506
58,제주애월천덕로점,제주 제주시,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,064-799-6667
59,화성만세DT점,경기 화성시,경기도 화성시 향남읍 서해로 191 1층,070-5159-5942
60,대구장기점,대구 달서구,대구광역시 달서구 장기로 268 1~2층,053-522-0666
61,부산연산점,부산 연제구,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
62,평촌점,경기 안양시 동안구,경기도 안양시 동안구 관평로170번길 43 (관양동  훼미리타운) 1층,031-385-3400
63,남동케이원점,인천 남동구,인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105 106 108호 (남촌동),032-821-9110
64,오송역사점,충북 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,
65,구미CGV점,경북 구미시,경상북도 구미시 구미중앙로 44 (원평동  멀티복합상가) 원평동68-1  1층,054-604-0375
66,왕십리역점,서울 성동구,서울특별시 성동구 왕십리광장로 17 (행당동  왕십리민자역사) 비트플렉스몰 3층 영풍문고 내,02-2200-1303
67,울산정자해변점,울산 중구,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,052-281-0620
68,부산서면일번가점,부산 부산진구,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,051-819-1449
69,강릉안목해변점,강원 강릉시,강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6 견소동132,070-7575-0184
70,경주용강DT점,경북 경주시,경상북도 경주시 산업로 4510 (용강동  용강주유소) ,070-7575-0185
71,군산수송점,전북 군산시,전라북도 군산시 수송북로 22 수송동 831-1 1층,063-467-9500
72,광주운암점,광주 북구,광주광역시 북구 북문대로 184 (운암동) ,062-531-7711
73,이천축산농협점,경기 이천시,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,031-635-6694
74,구리돌다리점,경기 구리시,경기도 구리시 경춘로227번길 14 (인창동) 1층,031-564-4565
75,소월아트홀점,서울 성동구,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) ,02-2294-7002
76,송파거여역점,서울 송파구,서울특별시 송파구 오금로 513 (위례빌딩 1층)  거여동 37,02-449-6232
77,경주주상절리점,경북 경주시,경상북도 경주시 양남면 동해안로 486 ,054-743-3780
78,(하)홍성휴게소점,충남 홍성군,충청남도 홍성군 은하면 금국리 275-2 ,041-642-1172
79,(상)홍성휴게소점,충남 홍성군,충청남도 홍성군 은하면 서해안고속도로 220 ,041-642-1172
80,서초마제스타시티점,서울 서초구,서울특별시 서초구 서초대로38길 12 (힐스테이트서리풀) ,02-6411-0063
81,울산KTX점,울산 울주군,울산광역시 울주군 삼남읍 도호1길 38 1층,052-937-8887
82,인천항국제여객터미널점,인천 연수구,인천광역시 연수구 국제항만대로326번길 57 (인천항국제여객터미널 204호) 송도동 300-3,070-4139-9947
83,분당파크타운점,경기 성남시 분당구,경기도 성남시 분당구 내정로 170 (수내동  동신파크빌딩) ,031-713-8570
84,하남덕풍점,경기 하남시,경기도 하남시 덕풍북로 2 ,070-4791-4731
85,대전오류점,대전 중구,대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호  202호 ,042-522-3141
86,계룡대점,충남 계룡시,충청남도 계룡시 신도안면 신도안1길 43 (계룡스포츠센터) 계룡스포츠센터 1층,042-551-5508
87,대전타임월드점,대전 서구,대전광역시 서구 둔산로 32-13(둔산동) ,042-489-1315
88,구미오태DT점,경북 구미시,경상북도 구미시 금오대로 320 ,054-461-0348
89,화정DI점,경기 고양시 덕양구,경기도 고양시 덕양구 화신로 254 (화정동) ,031-971-4097
90,부산광복점,부산 중구,부산광역시 중구 광복로 70 (광복동2가) ,051-253-8033
91,과천정보타운점,경기 과천시,경기도 과천시 과천대로7가길 20 (갈현동 프리즘스퀘어1 1층 101호) 갈현동 산32,02-6958-6720
92,양평북한강DI점,경기 양평군,경기도 양평군 양서면 양수로118번길 29 할리스,031-8079-7090
93,완주삼봉점,전북 완주군,전라북도 완주군 삼례읍 신기길 5-3 수계리 1212-4,063-261-2003
94,잠실새내역점,서울 송파구,서울특별시 송파구 올림픽로12길 8 (잠실동  제일빌딩) ,02-416-2085
95,화성남양점,경기 화성시,경기 화성시 역골중앙로 115 1층 남양읍 남양리 2279-2,031-8067-7760
96,여주교동DI점,경기 여주시,경기도 여주시 향교로 17 (창동) 1층~2층 /창동 183-4,031-882-8121
97,중랑역점,서울 중랑구,서울특별시 중랑구 망우로 210 (상봉동) ,0260857858
98,분당서울대병원점,경기 성남시 분당구,경기도 성남시 분당구 구미로173번길 82 (구미동  분당서울대학교병원) 본관 1동,031-8039-6020
99,강변역점,서울 광진구,서울 광진구 구의강변로 64  구의아크로리버 1층 구의동 589-10,070-7802-0303
100,대구중동점,대구 수성구,대구 수성구 중동 322-14 ,053-767-4326
